Each sample represents 0.02 seconds.
Total run time: 285.22 seconds.

Total seconds: time spent in function and callees.
Self seconds: time spent in function alone.

   %       total       %        self
 total    seconds     self    seconds    name
 100.0    285.22       0.0      0.00     "getLimmaInput"
  50.2    143.30       0.0      0.04     "standardGeneric"
  49.3    140.68       0.0      0.00     "["
  47.9    136.72       0.0      0.00     "dbGetQuery"
  47.9    136.58       0.0      0.02     "sqliteQuickSQL"
  46.6    132.82       0.0      0.00     "sqliteFetch"
  44.5    127.00       0.8      2.24     "eval"
  42.3    120.66      42.3    120.66     ".Call"
  38.5    109.88       0.9      2.58     "lapply"
  38.4    109.64       3.2      9.10     "FUN"
  21.3     60.64       0.0      0.00     "median"
  20.3     57.94       0.0      0.04     "paste"
  19.3     55.02       0.0      0.08     "lmFit"
  19.0     54.18       0.0      0.02     "parse"
  17.9     50.90      17.9     50.90     "append"
  10.0     28.44       0.3      0.78     "lm.series"
   7.1     20.34       5.6     15.90     "apply"
   6.2     17.84       6.0     17.26     "lm.fit"
   5.1     14.42       0.0      0.00     "+"
   5.1     14.42       0.0      0.00     "Ops.data.frame"
   4.6     13.10       1.7      4.94     "data.frame"
   3.8     10.84       0.2      0.66     "Math.data.frame"
   3.8     10.84       0.0      0.00     "log2"
   3.7     10.52       0.0      0.02     "seq"
   3.7     10.50       3.7     10.50     "as.vector"
   3.7     10.50       0.0      0.00     "seq.default"
   3.4      9.66       2.2      6.40     "unlist"
   2.8      7.96       0.2      0.70     "colMeans"
   2.5      7.26       2.0      5.66     "is.data.frame"
   2.5      7.14       0.0      0.02     "as.data.frame"
   2.5      7.14       0.0      0.00     "as.data.frame.list"
   2.2      6.26       0.4      1.26     "as.matrix.data.frame"
   2.2      6.26       0.0      0.00     "as.matrix"
   2.0      5.62       0.0      0.12     "tryCatchList"
   2.0      5.62       0.0      0.02     "tryCatch"
   2.0      5.60       0.0      0.04     "doTryCatch"
   2.0      5.60       0.0      0.00     "tryCatchOne"
   1.9      5.42       0.0      0.00     "try"
   1.9      5.38       0.0      0.00     "library"
   1.9      5.38       0.0      0.00     "require"
   1.8      5.08       0.3      0.80     "getEAWP"
   1.8      4.98       0.0      0.00     "loadNamespace"
   1.7      4.88       1.7      4.88     "as.integer"
   1.5      4.26       0.0      0.00     ".getRequiredPackages2"
   1.5      4.18       0.1      0.36     "<Anonymous>"
   1.4      3.84       0.1      0.24     "sprintf"
   1.3      3.64       0.2      0.52     "rowMeans"
   1.3      3.62       1.3      3.62     ".Method"
   1.2      3.32       0.0      0.00     "sqliteExecStatement"
   1.0      2.92       0.2      0.68     "median.default"
   0.9      2.72       0.0      0.00     ".updateMethodsInTable"
   0.9      2.58       0.9      2.58     "row.names.data.frame"
   0.9      2.58       0.0      0.00     "row.names"
   0.8      2.26       0.0      0.02     "sort"
   0.8      2.24       0.0      0.02     "sort.default"
   0.8      2.22       0.8      2.22     "sort.int"
   0.7      2.08       0.7      2.06     "as.data.frame.numeric"
   0.7      1.88       0.7      1.88     "[<-.data.frame"
   0.7      1.88       0.0      0.00     "[<-"
   0.6      1.60       0.6      1.60     "^"
   0.6      1.60       0.0      0.02     ".checkGroupSigLength"
   0.5      1.48       0.1      0.20     "is"
   0.5      1.48       0.0      0.06     "getGeneric"
   0.5      1.30       0.0      0.04     ".recMembers"
   0.5      1.30       0.0      0.00     "getGroupMembers"
   0.5      1.30       0.0      0.00     "namespaceImport"
   0.4      1.22       0.0      0.02     "as.list"
   0.4      1.20       0.4      1.20     "as.list.data.frame"
   0.4      1.12       0.4      1.12     "anyDuplicated.default"
   0.4      1.12       0.0      0.00     "anyDuplicated"
   0.4      1.06       0.4      1.06     ">="
   0.4      1.04       0.1      0.22     "initialize"
   0.4      1.04       0.0      0.00     "new"
   0.3      1.00       0.3      1.00     "as.numeric"
   0.3      1.00       0.0      0.02     "dbListFieldsAndTypes"
   0.3      1.00       0.0      0.00     "getColnames"
   0.3      1.00       0.0      0.00     "getSchema"
   0.3      0.92       0.3      0.92     "t.default"
   0.3      0.92       0.0      0.00     "t"
   0.3      0.80       0.1      0.38     "objects"
   0.3      0.78       0.0      0.00     "Recall"
   0.3      0.78       0.0      0.00     "genericForPrimitive"
   0.3      0.76       0.0      0.02     "slot<-"
   0.3      0.76       0.0      0.00     "@<-"
   0.3      0.74       0.1      0.18     "get"
   0.2      0.72       0.0      0.04     ".findBasicFuns"
   0.2      0.70       0.1      0.28     "match"
   0.2      0.68       0.1      0.20     ".mergeMethodsTable"
   0.2      0.68       0.0      0.08     ".findAll"
   0.2      0.66       0.2      0.66     "is.na"
   0.2      0.66       0.2      0.62     "exists"
   0.2      0.66       0.0      0.02     "setDataPart"
   0.2      0.62       0.0      0.02     "asMethod"
   0.2      0.58       0.1      0.18     "lazyLoadDBfetch"
   0.2      0.56       0.0      0.00     ".genericOrImplicit"
   0.2      0.56       0.0      0.00     "NCOL"
   0.2      0.54       0.0      0.00     "implicitGeneric"
   0.2      0.52       0.0      0.06     "namespaceImportFrom"
   0.2      0.52       0.0      0.00     ".valueClassTest"
   0.2      0.52       0.0      0.00     "as<-"
   0.2      0.50       0.2      0.46     "matrix"
   0.2      0.50       0.1      0.38     ".mergeAttrs"
   0.2      0.46       0.0      0.00     "makeGeneric"
   0.1      0.44       0.0      0.02     ".getGeneric"
   0.1      0.42       0.0      0.08     "getClassDef"
   0.1      0.40       0.1      0.40     "list"
   0.1      0.40       0.0      0.02     "sqliteResultInfo"
   0.1      0.40       0.0      0.00     "dbGetInfo"
   0.1      0.40       0.0      0.00     "vapply"
   0.1      0.38       0.0      0.00     "dbHasCompleted"
   0.1      0.34       0.0      0.00     "as"
   0.1      0.32       0.1      0.32     "attr<-"
   0.1      0.32       0.1      0.14     "possibleExtends"
   0.1      0.32       0.0      0.00     "checkConflicts"
   0.1      0.30       0.1      0.30     ".getClassFromCache"
   0.1      0.30       0.1      0.30     "getDataPart"
   0.1      0.30       0.0      0.04     "%in%"
   0.1      0.28       0.0      0.06     "importIntoEnv"
   0.1      0.26       0.0      0.00     "validObject"
   0.1      0.24       0.0      0.04     ".resetInheritedMethods"
   0.1      0.24       0.0      0.00     "body<-"
   0.1      0.22       0.1      0.22     ".identC"
   0.1      0.22       0.1      0.22     "any"
   0.1      0.22       0.1      0.22     "ls"
   0.1      0.20       0.0      0.02     ".getGenericFromCacheTable"
   0.1      0.20       0.0      0.00     ".cacheClass"
   0.1      0.20       0.0      0.00     ".getGenericFromCache"
   0.1      0.20       0.0      0.00     "slot"
   0.1      0.18       0.1      0.16     "assign"
   0.1      0.18       0.0      0.00     "attach"
   0.1      0.18       0.0      0.00     "attachNamespace"
   0.1      0.16       0.1      0.16     "sqrt"
   0.1      0.16       0.0      0.08     "unique"
   0.1      0.14       0.0      0.00     ".requirePackage"
   0.1      0.14       0.0      0.00     "loadedNamespaces"
   0.0      0.12       0.0      0.12     "aperm.default"
   0.0      0.12       0.0      0.10     ".asS4"
   0.0      0.12       0.0      0.08     ".cacheGenericTable"
   0.0      0.12       0.0      0.02     ".recacheSubclasses"
   0.0      0.12       0.0      0.00     ".cacheGeneric"
   0.0      0.12       0.0      0.00     ".classEnv"
   0.0      0.12       0.0      0.00     "aperm"
   0.0      0.10       0.0      0.08     "loadMethod"
   0.0      0.10       0.0      0.02     "asNamespace"
   0.0      0.10       0.0      0.00     ".getConnection"
   0.0      0.10       0.0      0.00     ".makeDBConnectionName"
   0.0      0.10       0.0      0.00     "dbGetRowCount"
   0.0      0.10       0.0      0.00     "find.package"
   0.0      0.10       0.0      0.00     "getDBConnection"
   0.0      0.08       0.0      0.08     "parent.env"
   0.0      0.08       0.0      0.04     "registerS3methods"
   0.0      0.08       0.0      0.00     "cacheGenericsMetaData"
   0.0      0.08       0.0      0.00     "checkSlotAssignment"
   0.0      0.08       0.0      0.00     "deparse"
   0.0      0.08       0.0      0.00     "elNamed"
   0.0      0.08       0.0      0.00     "sapply"
   0.0      0.06       0.0      0.06     "length"
   0.0      0.06       0.0      0.02     "[.data.frame"
   0.0      0.06       0.0      0.02     "fun"
   0.0      0.06       0.0      0.02     "readRDS"
   0.0      0.06       0.0      0.02     "topenv"
   0.0      0.06       0.0      0.00     ".derivedDefaultMethod"
   0.0      0.06       0.0      0.00     ".findMethodInTable"
   0.0      0.06       0.0      0.00     ".quickCoerceSelect"
   0.0      0.06       0.0      0.00     "getNamespaceExports"
   0.0      0.06       0.0      0.00     "match.arg"
   0.0      0.06       0.0      0.00     "sort.list"
   0.0      0.06       0.0      0.00     "structure"
   0.0      0.06       0.0      0.00     "sys.source"
   0.0      0.04       0.0      0.04     "=="
   0.0      0.04       0.0      0.04     "dimnames<-"
   0.0      0.04       0.0      0.04     "grep"
