Each sample represents 0.02 seconds.
Total run time: 222.56 seconds.

Total seconds: time spent in function and callees.
Self seconds: time spent in function alone.

   %       total       %        self
 total    seconds     self    seconds    name
 100.0    222.56       0.0      0.00     "getLimmaInput"
  97.3    216.54       0.3      0.70     "standardGeneric"
  64.3    143.08       1.3      2.82     "lapply"
  64.2    143.00       5.8     12.80     "FUN"
  32.7     72.74       0.1      0.28     "lmFit"
  31.5     70.12      31.2     69.44     "append"
  16.8     37.44       0.4      0.90     "lm.series"
  15.0     33.40       0.0      0.00     "["
  12.8     28.46       0.0      0.00     "dbGetQuery"
  12.8     28.44       0.0      0.02     "sqliteQuickSQL"
  12.1     26.88       9.8     21.72     "apply"
  12.1     26.82      12.1     26.82     ".Call"
  10.6     23.48       0.0      0.00     "sqliteFetch"
  10.0     22.26       9.5     21.22     "lm.fit"
   8.2     18.34       0.0      0.02     "+"
   8.2     18.32       0.0      0.06     "Ops.data.frame"
   7.5     16.58       4.1      9.08     "data.frame"
   7.3     16.30       0.9      2.00     "Math.data.frame"
   7.3     16.30       0.0      0.00     "log2"
   7.1     15.86       0.7      1.54     "eval"
   5.0     11.22       0.2      0.36     "colMeans"
   4.9     10.86       4.2      9.28     "is.data.frame"
   4.3      9.50       0.0      0.10     "as.data.frame"
   4.2      9.40       0.0      0.00     "as.data.frame.list"
   4.1      9.10       2.4      5.34     "unlist"
   3.5      7.74       1.5      3.24     "as.matrix.data.frame"
   3.5      7.74       0.0      0.00     "as.matrix"
   3.0      6.58       0.5      1.10     "getEAWP"
   2.7      6.06       0.0      0.02     "tryCatchList"
   2.7      6.06       0.0      0.00     "doTryCatch"
   2.7      6.06       0.0      0.00     "tryCatch"
   2.7      6.06       0.0      0.00     "tryCatchOne"
   2.6      5.84       0.0      0.02     "try"
   2.6      5.74       0.0      0.00     "library"
   2.6      5.74       0.0      0.00     "require"
   2.4      5.34       0.6      1.24     "rowMeans"
   2.4      5.32       0.0      0.00     "loadNamespace"
   2.2      4.86       0.1      0.34     "sprintf"
   2.1      4.74       0.2      0.44     "<Anonymous>"
   2.1      4.70       0.0      0.00     "paste"
   2.1      4.58       0.0      0.00     ".getRequiredPackages2"
   2.0      4.54       0.0      0.00     "sqliteExecStatement"
   2.0      4.52       2.0      4.52     ".Method"
   1.5      3.34       1.5      3.34     "row.names.data.frame"
   1.5      3.34       0.0      0.00     "row.names"
   1.3      2.80       0.0      0.02     ".updateMethodsInTable"
   1.0      2.30       0.0      0.06     "as.list"
   1.0      2.24       1.0      2.24     "as.list.data.frame"
   0.9      2.06       0.0      0.00     ".checkGroupSigLength"
   0.9      2.04       0.0      0.02     "[<-"
   0.9      2.02       0.9      2.02     "[<-.data.frame"
   0.9      1.98       0.0      0.04     "getGeneric"
   0.9      1.92       0.1      0.12     "is"
   0.8      1.66       0.8      1.66     ">="
   0.8      1.66       0.8      1.66     "t.default"
   0.8      1.66       0.0      0.00     "t"
   0.7      1.60       0.0      0.00     "vapply"
   0.7      1.58       0.7      1.58     "^"
   0.7      1.54       0.6      1.42     "as.data.frame.numeric"
   0.7      1.54       0.0      0.10     "getGroupMembers"
   0.7      1.52       0.0      0.02     "new"
   0.7      1.48       0.1      0.26     "initialize"
   0.6      1.42       0.0      0.02     "anyDuplicated"
   0.6      1.42       0.0      0.00     ".recMembers"
   0.6      1.40       0.6      1.40     "anyDuplicated.default"
   0.6      1.30       0.0      0.00     "namespaceImport"
   0.5      1.20       0.0      0.02     "@<-"
   0.5      1.18       0.0      0.04     "slot<-"
   0.5      1.08       0.0      0.04     "Recall"
   0.5      1.04       0.5      1.04     "as.vector"
   0.5      1.04       0.0      0.00     "NCOL"
   0.5      1.04       0.0      0.00     "seq"
   0.5      1.04       0.0      0.00     "seq.default"
   0.5      1.02       0.0      0.00     "setDataPart"
   0.4      0.86       0.1      0.32     "get"
   0.4      0.86       0.0      0.00     "asMethod"
   0.4      0.82       0.0      0.00     "as<-"
   0.4      0.80       0.2      0.56     ".mergeAttrs"
   0.4      0.80       0.1      0.24     "lazyLoadDBfetch"
   0.4      0.80       0.0      0.02     "genericForPrimitive"
   0.3      0.74       0.3      0.74     "dimnames<-"
   0.3      0.74       0.2      0.40     "match"
   0.3      0.74       0.0      0.04     ".getGeneric"
   0.3      0.70       0.3      0.70     "is.na"
   0.3      0.70       0.0      0.02     ".findBasicFuns"
   0.3      0.68       0.1      0.20     ".findAll"
   0.3      0.66       0.1      0.20     "possibleExtends"
   0.3      0.64       0.0      0.02     ".valueClassTest"
   0.3      0.62       0.2      0.40     "objects"
   0.3      0.60       0.2      0.54     "exists"
